AIRPORT,Year,Month,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Date
ADELAIDE,1985,1,5806,4733,10539,1985-01-01T00:00:00
ADELAIDE,1985,2,4260,3555,7815,1985-02-01T00:00:00
ADELAIDE,1985,3,5288,5157,10445,1985-03-01T00:00:00
ADELAIDE,1985,4,3346,4721,8067,1985-04-01T00:00:00
ADELAIDE,1985,5,3943,5037,8980,1985-05-01T00:00:00
ADELAIDE,1985,6,4304,4905,9209,1985-06-01T00:00:00
ADELAIDE,1985,7,3851,3766,7617,1985-07-01T00:00:00
ADELAIDE,1985,8,4056,4822,8878,1985-08-01T00:00:00
ADELAIDE,1985,9,5283,3531,8814,1985-09-01T00:00:00
ADELAIDE,1985,10,5286,2970,8256,1985-10-01T00:00:00
ADELAIDE,1985,11,4903,4107,9010,1985-11-01T00:00:00
ADELAIDE,1985,12,5027,5377,10404,1985-12-01T00:00:00
ADELAIDE,1986,1,6341,5521,11862,1986-01-01T00:00:00
ADELAIDE,1986,2,5204,3761,8965,1986-02-01T00:00:00
ADELAIDE,1986,3,5466,5979,11445,1986-03-01T00:00:00
ADELAIDE,1986,4,3791,6316,10107,1986-04-01T00:00:00
ADELAIDE,1986,5,5231,7070,12301,1986-05-01T00:00:00
ADELAIDE,1986,6,5394,5506,10900,1986-06-01T00:00:00
ADELAIDE,1986,7,5279,5665,10944,1986-07-01T00:00:00
ADELAIDE,1986,8,6065,5195,11260,1986-08-01T00:00:00
ADELAIDE,1986,9,7182,5557,12739,1986-09-01T00:00:00
ADELAIDE,1986,10,7598,4383,11981,1986-10-01T00:00:00
ADELAIDE,1986,11,6006,5070,11076,1986-11-01T00:00:00
ADELAIDE,1986,12,6716,6275,12991,1986-12-01T00:00:00
ADELAIDE,1987,1,7394,6411,13805,1987-01-01T00:00:00
ADELAIDE,1987,2,5470,4329,9799,1987-02-01T00:00:00
ADELAIDE,1987,3,5750,7052,12802,1987-03-01T00:00:00
ADELAIDE,1987,4,4916,6156,11072,1987-04-01T00:00:00
ADELAIDE,1987,5,4564,6034,10598,1987-05-01T00:00:00
ADELAIDE,1987,6,4655,5161,9816,1987-06-01T00:00:00
ADELAIDE,1987,7,6530,5611,12141,1987-07-01T00:00:00
ADELAIDE,1987,8,6011,5629,11640,1987-08-01T00:00:00
ADELAIDE,1987,9,6478,5777,12255,1987-09-01T00:00:00
ADELAIDE,1987,10,7776,4707,12483,1987-10-01T00:00:00
ADELAIDE,1987,11,6313,4681,10994,1987-11-01T00:00:00
ADELAIDE,1987,12,5908,6379,12287,1987-12-01T00:00:00
ADELAIDE,1988,1,7498,6560,14058,1988-01-01T00:00:00
ADELAIDE,1988,2,5796,4601,10397,1988-02-01T00:00:00
ADELAIDE,1988,3,6143,6241,12384,1988-03-01T00:00:00
ADELAIDE,1988,4,5466,6875,12341,1988-04-01T00:00:00
ADELAIDE,1988,5,4197,6040,10237,1988-05-01T00:00:00
ADELAIDE,1988,6,4872,5430,10302,1988-06-01T00:00:00
ADELAIDE,1988,7,6347,5702,12049,1988-07-01T00:00:00
ADELAIDE,1988,8,5888,5534,11422,1988-08-01T00:00:00
ADELAIDE,1988,9,6160,5815,11975,1988-09-01T00:00:00
ADELAIDE,1988,10,7712,4862,12574,1988-10-01T00:00:00
ADELAIDE,1988,11,6615,4764,11379,1988-11-01T00:00:00
ADELAIDE,1988,12,5779,5987,11766,1988-12-01T00:00:00
ADELAIDE,1989,1,7284,6036,13320,1989-01-01T00:00:00
ADELAIDE,1989,2,5748,4585,10333,1989-02-01T00:00:00
ADELAIDE,1989,3,5487,6162,11649,1989-03-01T00:00:00
ADELAIDE,1989,4,5130,6246,11376,1989-04-01T00:00:00
ADELAIDE,1989,5,4075,5943,10018,1989-05-01T00:00:00
ADELAIDE,1989,6,5062,5510,10572,1989-06-01T00:00:00
ADELAIDE,1989,7,6723,5765,12488,1989-07-01T00:00:00
ADELAIDE,1989,8,6288,6661,12949,1989-08-01T00:00:00
ADELAIDE,1989,9,6895,6568,13463,1989-09-01T00:00:00
ADELAIDE,1989,10,8922,5202,14124,1989-10-01T00:00:00
ADELAIDE,1989,11,6981,6010,12991,1989-11-01T00:00:00
ADELAIDE,1989,12,7030,6865,13895,1989-12-01T00:00:00
ADELAIDE,1990,1,8799,7675,16474,1990-01-01T00:00:00
ADELAIDE,1990,2,7620,5683,13303,1990-02-01T00:00:00
ADELAIDE,1990,3,7488,8255,15743,1990-03-01T00:00:00
ADELAIDE,1990,4,7428,8430,15858,1990-04-01T00:00:00
ADELAIDE,1990,5,5471,7577,13048,1990-05-01T00:00:00
ADELAIDE,1990,6,6392,7531,13923,1990-06-01T00:00:00
ADELAIDE,1990,7,8749,7164,15913,1990-07-01T00:00:00
ADELAIDE,1990,8,7633,7886,15519,1990-08-01T00:00:00
ADELAIDE,1990,9,8297,7188,15485,1990-09-01T00:00:00
ADELAIDE,1990,10,9307,5805,15112,1990-10-01T00:00:00
ADELAIDE,1990,11,7845,7732,15577,1990-11-01T00:00:00
ADELAIDE,1990,12,7840,7602,15442,1990-12-01T00:00:00
ADELAIDE,1991,1,10111,8467,18578,1991-01-01T00:00:00
ADELAIDE,1991,2,7757,6561,14318,1991-02-01T00:00:00
ADELAIDE,1991,3,7155,8125,15280,1991-03-01T00:00:00
ADELAIDE,1991,4,6806,8661,15467,1991-04-01T00:00:00
ADELAIDE,1991,5,5375,7596,12971,1991-05-01T00:00:00
ADELAIDE,1991,6,7166,8046,15212,1991-06-01T00:00:00
ADELAIDE,1991,7,9047,8858,17905,1991-07-01T00:00:00
ADELAIDE,1991,8,8228,7673,15901,1991-08-01T00:00:00
ADELAIDE,1991,9,8573,7961,16534,1991-09-01T00:00:00
ADELAIDE,1991,10,11096,7035,18131,1991-10-01T00:00:00
ADELAIDE,1991,11,8315,7736,16051,1991-11-01T00:00:00
ADELAIDE,1991,12,7331,8405,15736,1991-12-01T00:00:00
ADELAIDE,1992,1,9464,8109,17573,1992-01-01T00:00:00
ADELAIDE,1992,2,8648,6261,14909,1992-02-01T00:00:00
ADELAIDE,1992,3,7441,8565,16006,1992-03-01T00:00:00
ADELAIDE,1992,4,7219,9252,16471,1992-04-01T00:00:00
ADELAIDE,1992,5,5971,7988,13959,1992-05-01T00:00:00
ADELAIDE,1992,6,6921,7561,14482,1992-06-01T00:00:00
ADELAIDE,1992,7,9753,9946,19699,1992-07-01T00:00:00
ADELAIDE,1992,8,8487,7914,16401,1992-08-01T00:00:00
ADELAIDE,1992,9,9830,8314,18144,1992-09-01T00:00:00
ADELAIDE,1992,10,12087,7679,19766,1992-10-01T00:00:00
ADELAIDE,1992,11,9285,8656,17941,1992-11-01T00:00:00
ADELAIDE,1992,12,8826,10286,19112,1992-12-01T00:00:00
ADELAIDE,1993,1,11608,8542,20150,1993-01-01T00:00:00
ADELAIDE,1993,2,8654,6639,15293,1993-02-01T00:00:00
ADELAIDE,1993,3,8619,9027,17646,1993-03-01T00:00:00
ADELAIDE,1993,4,8341,9601,17942,1993-04-01T00:00:00
ADELAIDE,1993,5,7059,8815,15874,1993-05-01T00:00:00
ADELAIDE,1993,6,7650,7877,15527,1993-06-01T00:00:00
ADELAIDE,1993,7,11010,9204,20214,1993-07-01T00:00:00
ADELAIDE,1993,8,8538,8082,16620,1993-08-01T00:00:00
ADELAIDE,1993,9,10553,9358,19911,1993-09-01T00:00:00
ADELAIDE,1993,10,11970,7755,19725,1993-10-01T00:00:00
ADELAIDE,1993,11,9388,8592,17980,1993-11-01T00:00:00
ADELAIDE,1993,12,8900,10637,19537,1993-12-01T00:00:00
ADELAIDE,1994,1,11395,8634,20029,1994-01-01T00:00:00
ADELAIDE,1994,2,9896,6851,16747,1994-02-01T00:00:00
ADELAIDE,1994,3,8719,9729,18448,1994-03-01T00:00:00
ADELAIDE,1994,4,8102,9679,17781,1994-04-01T00:00:00
ADELAIDE,1994,5,6250,8464,14714,1994-05-01T00:00:00
ADELAIDE,1994,6,7094,7826,14920,1994-06-01T00:00:00
ADELAIDE,1994,7,10622,9948,20570,1994-07-01T00:00:00
ADELAIDE,1994,8,8534,7828,16362,1994-08-01T00:00:00
ADELAIDE,1994,9,10106,8100,18206,1994-09-01T00:00:00
ADELAIDE,1994,10,11592,7112,18704,1994-10-01T00:00:00
ADELAIDE,1994,11,10131,8148,18279,1994-11-01T00:00:00
ADELAIDE,1994,12,8966,10630,19596,1994-12-01T00:00:00
ADELAIDE,1995,1,11250,8889,20139,1995-01-01T00:00:00
ADELAIDE,1995,2,9130,6914,16044,1995-02-01T00:00:00
ADELAIDE,1995,3,8120,9584,17704,1995-03-01T00:00:00
ADELAIDE,1995,4,8398,8721,17119,1995-04-01T00:00:00
ADELAIDE,1995,5,6882,8291,15173,1995-05-01T00:00:00
ADELAIDE,1995,6,7417,7651,15068,1995-06-01T00:00:00
ADELAIDE,1995,7,10092,9260,19352,1995-07-01T00:00:00
ADELAIDE,1995,8,8867,7549,16416,1995-08-01T00:00:00
ADELAIDE,1995,9,9803,7582,17385,1995-09-01T00:00:00
ADELAIDE,1995,10,10182,7374,17556,1995-10-01T00:00:00
ADELAIDE,1995,11,9491,8875,18366,1995-11-01T00:00:00
ADELAIDE,1995,12,8044,9255,17299,1995-12-01T00:00:00
ADELAIDE,1996,1,9923,8637,18560,1996-01-01T00:00:00
ADELAIDE,1996,2,8401,6914,15315,1996-02-01T00:00:00
ADELAIDE,1996,3,8309,9248,17557,1996-03-01T00:00:00
ADELAIDE,1996,4,7834,9469,17303,1996-04-01T00:00:00
