AIRPORT,Year,Month,Dom_Acm_In,Dom_Acm_Out,Dom_Acm_Total,Int_Acm_In,Int_Acm_Out,Int_Acm_Total,Acm_In,Acm_Out,Acm_Total
ADELAIDE,1985,1,1908,1902,3810,35,34,69,1943,1936,3879
ADELAIDE,1985,2,1672,1668,3340,31,31,62,1703,1699,3402
ADELAIDE,1985,3,1878,1878,3756,39,40,79,1917,1918,3835
ADELAIDE,1985,4,1803,1804,3607,28,29,57,1831,1833,3664
ADELAIDE,1985,5,2014,2033,4047,31,30,61,2045,2063,4108
ADELAIDE,1985,6,1783,1787,3570,32,32,64,1815,1819,3634
ADELAIDE,1985,7,1935,1911,3846,29,29,58,1964,1940,3904
ADELAIDE,1985,8,2156,2119,4275,34,34,68,2190,2153,4343
ADELAIDE,1985,9,1992,2000,3992,29,29,58,2021,2029,4050
ADELAIDE,1985,10,2090,2089,4179,35,35,70,2125,2124,4249
ADELAIDE,1985,11,2207,2228,4435,55,55,110,2262,2283,4545
ADELAIDE,1985,12,2088,2079,4167,65,65,130,2153,2144,4297
ADELAIDE,1986,1,2000,1997,3997,70,71,141,2070,2068,4138
ADELAIDE,1986,2,1927,1887,3814,62,62,124,1989,1949,3938
ADELAIDE,1986,3,2158,2161,4319,70,71,141,2228,2232,4460
ADELAIDE,1986,4,2187,2182,4369,68,68,136,2255,2250,4505
ADELAIDE,1986,5,2406,2432,4838,70,70,140,2476,2502,4978
ADELAIDE,1986,6,2428,2391,4819,67,67,134,2495,2458,4953
ADELAIDE,1986,7,2470,2528,4998,69,70,139,2539,2598,5137
ADELAIDE,1986,8,2501,2550,5051,70,69,139,2571,2619,5190
ADELAIDE,1986,9,2551,2557,5108,68,69,137,2619,2626,5245
ADELAIDE,1986,10,1891,1900,3791,72,73,145,1963,1973,3936
ADELAIDE,1986,11,1775,1770,3545,71,70,141,1846,1840,3686
ADELAIDE,1986,12,1972,1975,3947,77,77,154,2049,2052,4101
ADELAIDE,1987,1,1811,1771,3582,71,71,142,1882,1842,3724
ADELAIDE,1987,2,1742,1748,3490,67,66,133,1809,1814,3623
ADELAIDE,1987,3,2088,2052,4140,74,75,149,2162,2127,4289
ADELAIDE,1987,4,1921,1925,3846,63,64,127,1984,1989,3973
ADELAIDE,1987,5,1888,1891,3779,64,64,128,1952,1955,3907
ADELAIDE,1987,6,1821,1822,3643,66,67,133,1887,1889,3776
ADELAIDE,1987,7,1959,1952,3911,68,68,136,2027,2020,4047
ADELAIDE,1987,8,1981,1957,3938,65,63,128,2046,2020,4066
ADELAIDE,1987,9,1815,1808,3623,70,69,139,1885,1877,3762
ADELAIDE,1987,10,2007,1995,4002,71,73,144,2078,2068,4146
ADELAIDE,1987,11,2030,2027,4057,68,67,135,2098,2094,4192
ADELAIDE,1987,12,1979,1981,3960,70,72,142,2049,2053,4102
ADELAIDE,1988,1,1827,1828,3655,75,74,149,1902,1902,3804
ADELAIDE,1988,2,1822,1825,3647,69,68,137,1891,1893,3784
ADELAIDE,1988,3,1999,2013,4012,70,70,140,2069,2083,4152
ADELAIDE,1988,4,1866,1868,3734,63,64,127,1929,1932,3861
ADELAIDE,1988,5,1904,1907,3811,67,67,134,1971,1974,3945
ADELAIDE,1988,6,1842,1849,3691,68,68,136,1910,1917,3827
ADELAIDE,1988,7,2138,2123,4261,66,65,131,2204,2188,4392
ADELAIDE,1988,8,2073,2064,4137,66,65,131,2139,2129,4268
ADELAIDE,1988,9,2116,2118,4234,65,66,131,2181,2184,4365
ADELAIDE,1988,10,2020,2025,4045,66,66,132,2086,2091,4177
ADELAIDE,1988,11,2117,2108,4225,69,69,138,2186,2177,4363
ADELAIDE,1988,12,1907,1891,3798,70,71,141,1977,1962,3939
