Year,Country of Stay/Residence,Origin,OBS_VALUE
1975,Argentina,Australia,360
1975,Austria,Australia,700
1975,Bangladesh,Australia,50
1975,Belgium,Australia,410
1975,Brazil,Australia,340
1975,Cambodia,Australia,0
1975,Canada,Australia,7810
1975,Chile,Australia,230
1975,China,Australia,260
1975,Colombia,Australia,10
1975,Denmark,Australia,750
1975,Fiji,Australia,3580
1975,Finland,Australia,190
1975,France,Australia,2600
1975,Germany,Australia,6260
1975,Hong Kong,Australia,3960
1975,India,Australia,1480
1975,Indonesia,Australia,4840
1975,Iran,Australia,340
1975,Ireland,Australia,610
1975,Israel,Australia,750
1975,Italy,Australia,5180
1975,Japan,Australia,13220
1975,Malaysia,Australia,4250
1975,Mexico,Australia,300
1975,Nepal,Australia,50
1975,Netherlands,Australia,4520
1975,New Caledonia,Australia,3640
1975,New Zealand,Australia,84900
1975,Norway,Australia,350
1975,Pakistan,Australia,250
1975,Papua New Guinea,Australia,15170
1975,Philippines,Australia,1480
1975,Poland,Australia,330
1975,Saudi Arabia,Australia,10
1975,Singapore,Australia,4790
1975,South Africa,Australia,1990
1975,South Korea,Australia,490
1975,Spain,Australia,590
1975,Sri Lanka,Australia,310
1975,Sweden,Australia,1190
1975,Switzerland,Australia,1960
1975,Taiwan,Australia,540
1975,Thailand,Australia,1370
1975,United Arab Emirates,Australia,30
1975,United States of America,Australia,34780
1975,Vanuatu,Australia,580
1975,Vietnam,Australia,10
1976,Argentina,Australia,420
1976,Austria,Australia,1440
1976,Bangladesh,Australia,140
1976,Belgium,Australia,910
1976,Brazil,Australia,710
1976,Cambodia,Australia,0
1976,Canada,Australia,17420
1976,Chile,Australia,450
1976,China,Australia,450
1976,Colombia,Australia,60
1976,Denmark,Australia,1620
1976,Fiji,Australia,7990
1976,Finland,Australia,380
1976,France,Australia,4650
1976,Germany,Australia,12350
1976,Hong Kong,Australia,10440
1976,India,Australia,3600
1976,Indonesia,Australia,6370
1976,Iran,Australia,750
1976,Ireland,Australia,1410
1976,Israel,Australia,1190
1976,Italy,Australia,8490
1976,Japan,Australia,26870
1976,Malaysia,Australia,10200
1976,Mexico,Australia,720
1976,Nepal,Australia,50
1976,Netherlands,Australia,8930
1976,New Caledonia,Australia,7040
1976,New Zealand,Australia,148070
1976,Norway,Australia,840
1976,Pakistan,Australia,410
1976,Papua New Guinea,Australia,29070
1976,Philippines,Australia,2600
1976,Poland,Australia,720
1976,Saudi Arabia,Australia,400
1976,Singapore,Australia,9230
1976,South Africa,Australia,4010
1976,South Korea,Australia,1170
1976,Spain,Australia,970
1976,Sri Lanka,Australia,700
1976,Sweden,Australia,2260
1976,Switzerland,Australia,3750
1976,Taiwan,Australia,960
1976,Thailand,Australia,2680
1976,United Arab Emirates,Australia,90
1976,United States of America,Australia,75660
1976,Vanuatu,Australia,1080
1976,Vietnam,Australia,30
1977,Argentina,Australia,390
1977,Austria,Australia,1650
