AIRPORT,Year,Month,Dom_Acm_Out,Int_Acm_Out,Acm_Out
ADELAIDE,1985,1,1902,34,1936
ADELAIDE,1985,2,1668,31,1699
ADELAIDE,1985,3,1878,40,1918
ADELAIDE,1985,4,1804,29,1833
ADELAIDE,1985,5,2033,30,2063
ADELAIDE,1985,6,1787,32,1819
ADELAIDE,1985,7,1911,29,1940
ADELAIDE,1985,8,2119,34,2153
ADELAIDE,1985,9,2000,29,2029
ADELAIDE,1985,10,2089,35,2124
ADELAIDE,1985,11,2228,55,2283
ADELAIDE,1985,12,2079,65,2144
ADELAIDE,1986,1,1997,71,2068
ADELAIDE,1986,2,1887,62,1949
ADELAIDE,1986,3,2161,71,2232
ADELAIDE,1986,4,2182,68,2250
ADELAIDE,1986,5,2432,70,2502
ADELAIDE,1986,6,2391,67,2458
ADELAIDE,1986,7,2528,70,2598
ADELAIDE,1986,8,2550,69,2619
ADELAIDE,1986,9,2557,69,2626
ADELAIDE,1986,10,1900,73,1973
ADELAIDE,1986,11,1770,70,1840
ADELAIDE,1986,12,1975,77,2052
ADELAIDE,1987,1,1771,71,1842
ADELAIDE,1987,2,1748,66,1814
ADELAIDE,1987,3,2052,75,2127
ADELAIDE,1987,4,1925,64,1989
ADELAIDE,1987,5,1891,64,1955
ADELAIDE,1987,6,1822,67,1889
ADELAIDE,1987,7,1952,68,2020
ADELAIDE,1987,8,1957,63,2020
ADELAIDE,1987,9,1808,69,1877
ADELAIDE,1987,10,1995,73,2068
ADELAIDE,1987,11,2027,67,2094
ADELAIDE,1987,12,1981,72,2053
ADELAIDE,1988,1,1828,74,1902
ADELAIDE,1988,2,1825,68,1893
ADELAIDE,1988,3,2013,70,2083
ADELAIDE,1988,4,1868,64,1932
ADELAIDE,1988,5,1907,67,1974
ADELAIDE,1988,6,1849,68,1917
ADELAIDE,1988,7,2123,65,2188
ADELAIDE,1988,8,2064,65,2129
ADELAIDE,1988,9,2118,66,2184
ADELAIDE,1988,10,2025,66,2091
ADELAIDE,1988,11,2108,69,2177
ADELAIDE,1988,12,1891,71,1962
ADELAIDE,1989,1,1880,72,1952
ADELAIDE,1989,2,1813,62,1875
ADELAIDE,1989,3,2046,69,2115
ADELAIDE,1989,4,1952,83,2035
ADELAIDE,1989,5,1981,83,2064
ADELAIDE,1989,6,1961,78,2039
ADELAIDE,1989,7,2176,88,2264
ADELAIDE,1989,8,1827,90,1917
ADELAIDE,1989,9,1309,85,1394
ADELAIDE,1989,10,1534,93,1627
ADELAIDE,1989,11,1714,88,1802
ADELAIDE,1989,12,1533,89,1622
ADELAIDE,1990,1,1500,93,1593
ADELAIDE,1990,2,1551,84,1635
ADELAIDE,1990,3,1672,93,1765
ADELAIDE,1990,4,1662,90,1752
ADELAIDE,1990,5,1756,94,1850
ADELAIDE,1990,6,1680,90,1770
ADELAIDE,1990,7,1826,92,1918
ADELAIDE,1990,8,1866,91,1957
ADELAIDE,1990,9,1908,92,2000
ADELAIDE,1990,10,2178,99,2277
ADELAIDE,1990,11,2063,88,2151
ADELAIDE,1990,12,1988,95,2083
ADELAIDE,1991,1,2014,100,2114
ADELAIDE,1991,2,1888,86,1974
ADELAIDE,1991,3,2117,92,2209
ADELAIDE,1991,4,2104,87,2191
ADELAIDE,1991,5,2044,88,2132
ADELAIDE,1991,6,2023,102,2125
ADELAIDE,1991,7,2229,104,2333
ADELAIDE,1991,8,2194,108,2302
ADELAIDE,1991,9,2140,97,2237
ADELAIDE,1991,10,2329,96,2425
ADELAIDE,1991,11,2352,99,2451
ADELAIDE,1991,12,2300,100,2400
ADELAIDE,1992,1,2082,99,2181
ADELAIDE,1992,2,2039,97,2136
ADELAIDE,1992,3,2307,102,2409
ADELAIDE,1992,4,2224,100,2324
ADELAIDE,1992,5,2278,97,2375
ADELAIDE,1992,6,2211,98,2309
ADELAIDE,1992,7,2356,102,2458
ADELAIDE,1992,8,2378,102,2480
ADELAIDE,1992,9,2417,99,2516
ADELAIDE,1992,10,2450,106,2556
ADELAIDE,1992,11,2457,91,2548
ADELAIDE,1992,12,2393,92,2485
ADELAIDE,1993,1,2182,93,2275
ADELAIDE,1993,2,2158,84,2242
ADELAIDE,1993,3,2439,90,2529
ADELAIDE,1993,4,2275,98,2373
ADELAIDE,1993,5,2301,94,2395
ADELAIDE,1993,6,2309,93,2402
ADELAIDE,1993,7,2390,101,2491
ADELAIDE,1993,8,2412,96,2508
ADELAIDE,1993,9,2424,95,2519
ADELAIDE,1993,10,2453,99,2552
ADELAIDE,1993,11,2440,92,2532
ADELAIDE,1993,12,2365,99,2464
ADELAIDE,1994,1,2265,99,2364
ADELAIDE,1994,2,2186,89,2275
ADELAIDE,1994,3,2552,98,2650
ADELAIDE,1994,4,2367,93,2460
ADELAIDE,1994,5,2485,96,2581
ADELAIDE,1994,6,2300,95,2395
ADELAIDE,1994,7,2523,97,2620
ADELAIDE,1994,8,2603,95,2698
ADELAIDE,1994,9,2517,95,2612
ADELAIDE,1994,10,2593,95,2688
ADELAIDE,1994,11,2599,96,2695
ADELAIDE,1994,12,2482,98,2580
ADELAIDE,1995,1,2405,96,2501
ADELAIDE,1995,2,2354,89,2443
ADELAIDE,1995,3,2650,96,2746
ADELAIDE,1995,4,2499,87,2586
ADELAIDE,1995,5,2694,86,2780
ADELAIDE,1995,6,2556,88,2644
ADELAIDE,1995,7,2750,88,2838
ADELAIDE,1995,8,2848,90,2938
ADELAIDE,1995,9,2722,84,2806
ADELAIDE,1995,10,2860,88,2948
ADELAIDE,1995,11,2724,88,2812
ADELAIDE,1995,12,2575,88,2663
ADELAIDE,1996,1,2590,92,2682
ADELAIDE,1996,2,2557,91,2648
ADELAIDE,1996,3,2727,90,2817
ADELAIDE,1996,4,2681,90,2771
ADELAIDE,1996,5,2740,90,2830
ADELAIDE,1996,6,2580,90,2670
ADELAIDE,1996,7,2863,92,2955
ADELAIDE,1996,8,2893,90,2983
ADELAIDE,1996,9,2775,91,2866
ADELAIDE,1996,10,2951,89,3040
ADELAIDE,1996,11,2857,84,2941
ADELAIDE,1996,12,2684,91,2775
ADELAIDE,1997,1,2599,89,2688
ADELAIDE,1997,2,2581,81,2662
ADELAIDE,1997,3,2815,91,2906
ADELAIDE,1997,4,2843,87,2930
ADELAIDE,1997,5,2827,90,2917
ADELAIDE,1997,6,2722,80,2802
ADELAIDE,1997,7,2942,84,3026
ADELAIDE,1997,8,2968,83,3051
ADELAIDE,1997,9,2978,80,3058
ADELAIDE,1997,10,3133,84,3217
ADELAIDE,1997,11,2994,83,3077
ADELAIDE,1997,12,2914,81,2995
ADELAIDE,1998,1,2753,81,2834
ADELAIDE,1998,2,2756,75,2831
ADELAIDE,1998,3,3063,85,3148
ADELAIDE,1998,4,2955,82,3037
ADELAIDE,1998,5,2963,86,3049
ADELAIDE,1998,6,2852,78,2930
ADELAIDE,1998,7,3074,86,3160
ADELAIDE,1998,8,3051,92,3143
ADELAIDE,1998,9,3061,89,3150
ADELAIDE,1998,10,3136,90,3226
ADELAIDE,1998,11,3020,90,3110
ADELAIDE,1998,12,2984,91,3075
ADELAIDE,1999,1,2796,89,2885
ADELAIDE,1999,2,2747,82,2829
ADELAIDE,1999,3,3104,87,3191
ADELAIDE,1999,4,2931,88,3019
ADELAIDE,1999,5,2875,90,2965
ADELAIDE,1999,6,2779,77,2856
ADELAIDE,1999,7,2952,72,3024
ADELAIDE,1999,8,2997,80,3077
ADELAIDE,1999,9,2909,76,2985
ADELAIDE,1999,10,3072,81,3153
ADELAIDE,1999,11,2970,71,3041
ADELAIDE,1999,12,2973,75,3048
ADELAIDE,2000,1,2707,75,2782
ADELAIDE,2000,2,2788,71,2859
ADELAIDE,2000,3,3034,77,3111
ADELAIDE,2000,4,2788,85,2873
ADELAIDE,2000,5,2971,81,3052
ADELAIDE,2000,6,2691,82,2773
ADELAIDE,2000,7,2801,86,2887
ADELAIDE,2000,8,2994,83,3077
ADELAIDE,2000,9,2848,82,2930
ADELAIDE,2000,10,3032,85,3117
ADELAIDE,2000,11,3059,83,3142
ADELAIDE,2000,12,2956,84,3040
ADELAIDE,2001,1,2929,83,3012
ADELAIDE,2001,2,2794,72,2866
ADELAIDE,2001,3,3239,78,3317
ADELAIDE,2001,4,3062,80,3142
ADELAIDE,2001,5,3144,76,3220
ADELAIDE,2001,6,3028,76,3104
ADELAIDE,2001,7,3202,79,3281
ADELAIDE,2001,8,3236,80,3316
ADELAIDE,2001,9,2583,76,2659
ADELAIDE,2001,10,2572,78,2650
ADELAIDE,2001,11,2631,76,2707
ADELAIDE,2001,12,2648,83,2731
ADELAIDE,2002,1,2685,79,2764
ADELAIDE,2002,2,2509,72,2581
ADELAIDE,2002,3,2694,81,2775
ADELAIDE,2002,4,2543,73,2616
ADELAIDE,2002,5,2583,74,2657
ADELAIDE,2002,6,2438,74,2512
ADELAIDE,2002,7,2714,75,2789
ADELAIDE,2002,8,2830,76,2906
ADELAIDE,2002,9,2852,75,2927
ADELAIDE,2002,10,2934,75,3009
ADELAIDE,2002,11,2741,65,2806
ADELAIDE,2002,12,2720,64,2784
ADELAIDE,2003,1,2640,63,2703
ADELAIDE,2003,2,2536,56,2592
ADELAIDE,2003,3,2789,63,2852
ADELAIDE,2003,4,2570,73,2643
ADELAIDE,2003,5,2536,77,2613
ADELAIDE,2003,6,2433,76,2509
ADELAIDE,2003,7,2583,83,2666
ADELAIDE,2003,8,2627,85,2712
ADELAIDE,2003,9,2712,81,2793
ADELAIDE,2003,10,2801,80,2881
ADELAIDE,2003,11,2729,74,2803
ADELAIDE,2003,12,2767,74,2841
ADELAIDE,2004,1,2695,75,2770
ADELAIDE,2004,2,2686,71,2757
ADELAIDE,2004,3,2947,83,3030
ADELAIDE,2004,4,2765,79,2844
ADELAIDE,2004,5,2548,84,2632
ADELAIDE,2004,6,2730,82,2812
ADELAIDE,2004,7,2855,85,2940
ADELAIDE,2004,8,2866,84,2950
ADELAIDE,2004,9,2848,84,2932
ADELAIDE,2004,10,2877,87,2964
ADELAIDE,2004,11,2925,84,3009
ADELAIDE,2004,12,2945,97,3042
ADELAIDE,2005,1,2697,97,2794
ADELAIDE,2005,2,2711,93,2804
ADELAIDE,2005,3,2974,100,3074
ADELAIDE,2005,4,2865,96,2961
ADELAIDE,2005,5,2916,102,3018
ADELAIDE,2005,6,2829,99,2928
ADELAIDE,2005,7,2914,103,3017
ADELAIDE,2005,8,3003,101,3104
ADELAIDE,2005,9,2907,90,2997
ADELAIDE,2005,10,2955,102,3057
ADELAIDE,2005,11,2739,95,2834
ADELAIDE,2005,12,2693,92,2785
ADELAIDE,2006,1,2591,93,2684
ADELAIDE,2006,2,2651,83,2734
ADELAIDE,2006,3,3044,97,3141
