airport,Year,Month,Dom_Acm_In,Dom_Acm_Out,Dom_Acm_Total,Int_Acm_In,Int_Acm_Out,Int_Acm_Total,Acm_In,Acm_Out,Acm_Total,AIRPORT,Dom_Pax_In,Dom_Pax_Out,Dom_Pax_Total,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Pax_In,Pax_Out,Pax_Total
Adelaide,1985,1,1908,1902,3810,35,34,69,1943,1936,3879,Adelaide,81661,81630,163291,5806,4733,10539,87467,86363,173830
Adelaide,1985,2,1672,1668,3340,31,31,62,1703,1699,3402,Adelaide,67452,64219,131671,4260,3555,7815,71712,67774,139486
Adelaide,1985,3,1878,1878,3756,39,40,79,1917,1918,3835,Adelaide,77448,79177,156625,5288,5157,10445,82736,84334,167070
Adelaide,1985,4,1803,1804,3607,28,29,57,1831,1833,3664,Adelaide,76105,77891,153996,3346,4721,8067,79451,82612,162063
Adelaide,1985,5,2014,2033,4047,31,30,61,2045,2063,4108,Adelaide,83597,88333,171930,3943,5037,8980,87540,93370,180910
Adelaide,1985,6,1783,1787,3570,32,32,64,1815,1819,3634,Adelaide,75907,73384,149291,4304,4905,9209,80211,78289,158500
Adelaide,1985,7,1935,1911,3846,29,29,58,1964,1940,3904,Adelaide,73473,74467,147940,3851,3766,7617,77324,78233,155557
Adelaide,1985,8,2156,2119,4275,34,34,68,2190,2153,4343,Adelaide,85479,84196,169675,4056,4822,8878,89535,89018,178553
Adelaide,1985,9,1992,2000,3992,29,29,58,2021,2029,4050,Adelaide,86165,81845,168010,5283,3531,8814,91448,85376,176824
Adelaide,1985,10,2090,2089,4179,35,35,70,2125,2124,4249,Adelaide,88607,80708,169315,5286,2970,8256,93893,83678,177571
Adelaide,1985,11,2207,2228,4435,55,55,110,2262,2283,4545,Adelaide,83986,88134,172120,4903,4107,9010,88889,92241,181130
Adelaide,1985,12,2088,2079,4167,65,65,130,2153,2144,4297,Adelaide,78000,79883,157883,5027,5377,10404,83027,85260,168287
Adelaide,1986,1,2000,1997,3997,70,71,141,2070,2068,4138,Adelaide,83677,83327,167004,6341,5521,11862,90018,88848,178866
Adelaide,1986,2,1927,1887,3814,62,62,124,1989,1949,3938,Adelaide,76173,71699,147872,5204,3761,8965,81377,75460,156837
Adelaide,1986,3,2158,2161,4319,70,71,141,2228,2232,4460,Adelaide,87624,88288,175912,5466,5979,11445,93090,94267,187357
Adelaide,1986,4,2187,2182,4369,68,68,136,2255,2250,4505,Adelaide,80118,82628,162746,3791,6316,10107,83909,88944,172853
Adelaide,1986,5,2406,2432,4838,70,70,140,2476,2502,4978,Adelaide,85314,88981,174295,5231,7070,12301,90545,96051,186596
Adelaide,1986,6,2428,2391,4819,67,67,134,2495,2458,4953,Adelaide,75394,74831,150225,5394,5506,10900,80788,80337,161125
Adelaide,1986,7,2470,2528,4998,69,70,139,2539,2598,5137,Adelaide,75629,75906,151535,5279,5665,10944,80908,81571,162479
Adelaide,1986,8,2501,2550,5051,70,69,139,2571,2619,5190,Adelaide,86256,86477,172733,6065,5195,11260,92321,91672,183993
Adelaide,1986,9,2551,2557,5108,68,69,137,2619,2626,5245,Adelaide,85678,82096,167774,7182,5557,12739,92860,87653,180513
Adelaide,1986,10,1891,1900,3791,72,73,145,1963,1973,3936,Adelaide,95673,93432,189105,7598,4383,11981,103271,97815,201086
Adelaide,1986,11,1775,1770,3545,71,70,141,1846,1840,3686,Adelaide,78346,78852,157198,6006,5070,11076,84352,83922,168274
Adelaide,1986,12,1972,1975,3947,77,77,154,2049,2052,4101,Adelaide,81129,80905,162034,6716,6275,12991,87845,87180,175025
Adelaide,1987,1,1811,1771,3582,71,71,142,1882,1842,3724,Adelaide,81827,82203,164030,7394,6411,13805,89221,88614,177835
Adelaide,1987,2,1742,1748,3490,67,66,133,1809,1814,3623,Adelaide,72995,71189,144184,5470,4329,9799,78465,75518,153983
Adelaide,1987,3,2088,2052,4140,74,75,149,2162,2127,4289,Adelaide,82496,83480,165976,5750,7052,12802,88246,90532,178778
Adelaide,1987,4,1921,1925,3846,63,64,127,1984,1989,3973,Adelaide,82857,83876,166733,4916,6156,11072,87773,90032,177805
Adelaide,1987,5,1888,1891,3779,64,64,128,1952,1955,3907,Adelaide,77770,79459,157229,4564,6034,10598,82334,85493,167827
Adelaide,1987,6,1821,1822,3643,66,67,133,1887,1889,3776,Adelaide,72632,72966,145598,4655,5161,9816,77287,78127,155414
Adelaide,1987,7,1959,1952,3911,68,68,136,2027,2020,4047,Adelaide,87245,88910,176155,6530,5611,12141,93775,94521,188296
Adelaide,1987,8,1981,1957,3938,65,63,128,2046,2020,4066,Adelaide,84874,84708,169582,6011,5629,11640,90885,90337,181222
Adelaide,1987,9,1815,1808,3623,70,69,139,1885,1877,3762,Adelaide,85341,86790,172131,6478,5777,12255,91819,92567,184386
Adelaide,1987,10,2007,1995,4002,71,73,144,2078,2068,4146,Adelaide,96362,90890,187252,7776,4707,12483,104138,95597,199735
Adelaide,1987,11,2030,2027,4057,68,67,135,2098,2094,4192,Adelaide,95943,95842,191785,6313,4681,10994,102256,100523,202779
Adelaide,1987,12,1979,1981,3960,70,72,142,2049,2053,4102,Adelaide,83881,84307,168188,5908,6379,12287,89789,90686,180475
Adelaide,1988,1,1827,1828,3655,75,74,149,1902,1902,3804,Adelaide,85874,83852,169726,7498,6560,14058,93372,90412,183784
Adelaide,1988,2,1822,1825,3647,69,68,137,1891,1893,3784,Adelaide,82848,81326,164174,5796,4601,10397,88644,85927,174571
Adelaide,1988,3,1999,2013,4012,70,70,140,2069,2083,4152,Adelaide,90690,92353,183043,6143,6241,12384,96833,98594,195427
Adelaide,1988,4,1866,1868,3734,63,64,127,1929,1932,3861,Adelaide,86263,89319,175582,5466,6875,12341,91729,96194,187923
Adelaide,1988,5,1904,1907,3811,67,67,134,1971,1974,3945,Adelaide,87630,89403,177033,4197,6040,10237,91827,95443,187270
Adelaide,1988,6,1842,1849,3691,68,68,136,1910,1917,3827,Adelaide,80847,82247,163094,4872,5430,10302,85719,87677,173396
Adelaide,1988,7,2138,2123,4261,66,65,131,2204,2188,4392,Adelaide,99879,100511,200390,6347,5702,12049,106226,106213,212439
Adelaide,1988,8,2073,2064,4137,66,65,131,2139,2129,4268,Adelaide,89970,90682,180652,5888,5534,11422,95858,96216,192074
Adelaide,1988,9,2116,2118,4234,65,66,131,2181,2184,4365,Adelaide,95683,95965,191648,6160,5815,11975,101843,101780,203623
Adelaide,1988,10,2020,2025,4045,66,66,132,2086,2091,4177,Adelaide,99175,93654,192829,7712,4862,12574,106887,98516,205403
Adelaide,1988,11,2117,2108,4225,69,69,138,2186,2177,4363,Adelaide,97510,96716,194226,6615,4764,11379,104125,101480,205605
Adelaide,1988,12,1907,1891,3798,70,71,141,1977,1962,3939,Adelaide,86010,85844,171854,5779,5987,11766,91789,91831,183620
Adelaide,1989,1,1881,1880,3761,74,72,146,1955,1952,3907,Adelaide,82568,82130,164698,7284,6036,13320,89852,88166,178018
Adelaide,1989,2,1806,1813,3619,64,62,126,1870,1875,3745,Adelaide,77327,76909,154236,5748,4585,10333,83075,81494,164569
Adelaide,1989,3,2047,2046,4093,70,69,139,2117,2115,4232,Adelaide,92675,93859,186534,5487,6162,11649,98162,100021,198183
Adelaide,1989,4,1953,1952,3905,82,83,165,2035,2035,4070,Adelaide,87129,90339,177468,5130,6246,11376,92259,96585,188844
Adelaide,1989,5,1973,1981,3954,84,83,167,2057,2064,4121,Adelaide,83322,84847,168169,4075,5943,10018,87397,90790,178187
Adelaide,1989,6,1958,1961,3919,80,78,158,2038,2039,4077,Adelaide,84132,85214,169346,5062,5510,10572,89194,90724,179918
Adelaide,1989,7,2135,2176,4311,86,88,174,2221,2264,4485,Adelaide,98908,99565,198473,6723,5765,12488,105631,105330,210961
Adelaide,1989,8,1812,1827,3639,88,90,178,1900,1917,3817,Adelaide,64509,64790,129299,6288,6661,12949,70797,71451,142248
Adelaide,1989,9,1286,1309,2595,86,85,171,1372,1394,2766,Adelaide,27377,26068,53445,6895,6568,13463,34272,32636,66908
Adelaide,1989,10,1533,1534,3067,93,93,186,1626,1627,3253,Adelaide,44006,42273,86279,8922,5202,14124,52928,47475,100403
Adelaide,1989,11,1695,1714,3409,88,88,176,1783,1802,3585,Adelaide,59229,61244,120473,6981,6010,12991,66210,67254,133464
Adelaide,1989,12,1532,1533,3065,90,89,179,1622,1622,3244,Adelaide,62974,63658,126632,7030,6865,13895,70004,70523,140527
Adelaide,1990,1,1438,1500,2938,93,93,186,1531,1593,3124,Adelaide,69021,69351,138372,8799,7675,16474,77820,77026,154846
Adelaide,1990,2,1548,1551,3099,84,84,168,1632,1635,3267,Adelaide,68815,68006,136821,7620,5683,13303,76435,73689,150124
Adelaide,1990,3,1688,1672,3360,94,93,187,1782,1765,3547,Adelaide,85099,86356,171455,7488,8255,15743,92587,94611,187198
Adelaide,1990,4,1665,1662,3327,90,90,180,1755,1752,3507,Adelaide,85874,88842,174716,7428,8430,15858,93302,97272,190574
Adelaide,1990,5,1757,1756,3513,94,94,188,1851,1850,3701,Adelaide,80495,82744,163239,5471,7577,13048,85966,90321,176287
Adelaide,1990,6,1671,1680,3351,90,90,180,1761,1770,3531,Adelaide,77264,80700,157964,6392,7531,13923,83656,88231,171887
Adelaide,1990,7,1831,1826,3657,91,92,183,1922,1918,3840,Adelaide,93245,92613,185858,8749,7164,15913,101994,99777,201771
Adelaide,1990,8,1851,1866,3717,92,91,183,1943,1957,3900,Adelaide,92572,91809,184381,7633,7886,15519,100205,99695,199900
Adelaide,1990,9,1895,1908,3803,92,92,184,1987,2000,3987,Adelaide,93837,95260,189097,8297,7188,15485,102134,102448,204582
Adelaide,1990,10,2162,2178,4340,100,99,199,2262,2277,4539,Adelaide,112607,106180,218787,9307,5805,15112,121914,111985,233899
Adelaide,1990,11,2077,2063,4140,88,88,176,2165,2151,4316,Adelaide,99347,102733,202080,7845,7732,15577,107192,110465,217657
Adelaide,1990,12,2005,1988,3993,95,95,190,2100,2083,4183,Adelaide,92354,92722,185076,7840,7602,15442,100194,100324,200518
Adelaide,1991,1,2008,2014,4022,99,100,199,2107,2114,4221,Adelaide,99743,101103,200846,10111,8467,18578,109854,109570,219424
Adelaide,1991,2,1922,1888,3810,87,86,173,2009,1974,3983,Adelaide,82877,81822,164699,7757,6561,14318,90634,88383,179017
Adelaide,1991,3,2111,2117,4228,91,92,183,2202,2209,4411,Adelaide,93814,92636,186450,7155,8125,15280,100969,100761,201730
Adelaide,1991,4,2111,2104,4215,86,87,173,2197,2191,4388,Adelaide,95589,99085,194674,6806,8661,15467,102395,107746,210141
Adelaide,1991,5,2066,2044,4110,86,88,174,2152,2132,4284,Adelaide,91931,93739,185670,5375,7596,12971,97306,101335,198641
Adelaide,1991,6,2037,2023,4060,101,102,203,2138,2125,4263,Adelaide,89049,89622,178671,7166,8046,15212,96215,97668,193883
Adelaide,1991,7,2199,2229,4428,103,104,207,2302,2333,4635,Adelaide,115033,116684,231717,9047,8858,17905,124080,125542,249622
Adelaide,1991,8,2226,2194,4420,108,108,216,2334,2302,4636,Adelaide,114883,113590,228473,8228,7673,15901,123111,121263,244374
Adelaide,1991,9,2136,2140,4276,95,97,192,2231,2237,4468,Adelaide,128684,128321,257005,8573,7961,16534,137257,136282,273539
Adelaide,1991,10,2348,2329,4677,95,96,191,2443,2425,4868,Adelaide,146266,136495,282761,11096,7035,18131,157362,143530,300892
Adelaide,1991,11,2348,2352,4700,101,99,200,2449,2451,4900,Adelaide,130156,136690,266846,8315,7736,16051,138471,144426,282897
Adelaide,1991,12,2279,2300,4579,100,100,200,2379,2400,4779,Adelaide,124308,127896,252204,7331,8405,15736,131639,136301,267940
Adelaide,1992,1,2112,2082,4194,100,99,199,2212,2181,4393,Adelaide,117375,117318,234693,9464,8109,17573,126839,125427,252266
Adelaide,1992,2,2033,2039,4072,98,97,195,2131,2136,4267,Adelaide,100446,98822,199268,8648,6261,14909,109094,105083,214177
