CAT_TRAVELLER,Category of traveller,Duration of stay,Reason for journey,TIME_PERIOD,OBS_VALUE
6,Short-term (less than one year) Visitors arriving,Total,Employment,1975-07,780
6,Short-term (less than one year) Visitors arriving,Total,Employment,1975-08,620
6,Short-term (less than one year) Visitors arriving,Total,Employment,1975-09,650
6,Short-term (less than one year) Visitors arriving,Total,Employment,1975-10,590
6,Short-term (less than one year) Visitors arriving,Total,Employment,1975-11,870
6,Short-term (less than one year) Visitors arriving,Total,Employment,1975-12,530
6,Short-term (less than one year) Visitors arriving,Total,Employment,1976-01,1710
6,Short-term (less than one year) Visitors arriving,Total,Employment,1976-02,1300
6,Short-term (less than one year) Visitors arriving,Total,Employment,1976-03,1030
6,Short-term (less than one year) Visitors arriving,Total,Employment,1976-04,1030
6,Short-term (less than one year) Visitors arriving,Total,Employment,1976-05,1120
6,Short-term (less than one year) Visitors arriving,Total,Employment,1976-06,1100
6,Short-term (less than one year) Visitors arriving,Total,Employment,1976-07,870
6,Short-term (less than one year) Visitors arriving,Total,Employment,1976-08,920
6,Short-term (less than one year) Visitors arriving,Total,Employment,1976-09,780
6,Short-term (less than one year) Visitors arriving,Total,Employment,1976-10,1120
6,Short-term (less than one year) Visitors arriving,Total,Employment,1976-11,950
6,Short-term (less than one year) Visitors arriving,Total,Employment,1976-12,790
6,Short-term (less than one year) Visitors arriving,Total,Employment,1977-01,1510
6,Short-term (less than one year) Visitors arriving,Total,Employment,1977-02,1460
6,Short-term (less than one year) Visitors arriving,Total,Employment,1977-03,1390
6,Short-term (less than one year) Visitors arriving,Total,Employment,1977-04,1240
6,Short-term (less than one year) Visitors arriving,Total,Employment,1977-05,1330
6,Short-term (less than one year) Visitors arriving,Total,Employment,1977-06,1220
6,Short-term (less than one year) Visitors arriving,Total,Employment,1977-07,1590
6,Short-term (less than one year) Visitors arriving,Total,Employment,1977-08,1190
6,Short-term (less than one year) Visitors arriving,Total,Employment,1977-09,1110
6,Short-term (less than one year) Visitors arriving,Total,Employment,1977-10,1250
6,Short-term (less than one year) Visitors arriving,Total,Employment,1977-11,1330
6,Short-term (less than one year) Visitors arriving,Total,Employment,1977-12,1120
6,Short-term (less than one year) Visitors arriving,Total,Employment,1978-01,2010
6,Short-term (less than one year) Visitors arriving,Total,Employment,1978-02,1570
6,Short-term (less than one year) Visitors arriving,Total,Employment,1978-03,1420
6,Short-term (less than one year) Visitors arriving,Total,Employment,1978-04,1090
6,Short-term (less than one year) Visitors arriving,Total,Employment,1978-05,960
6,Short-term (less than one year) Visitors arriving,Total,Employment,1978-06,1470
6,Short-term (less than one year) Visitors arriving,Total,Employment,1978-07,1100
6,Short-term (less than one year) Visitors arriving,Total,Employment,1978-08,1120
6,Short-term (less than one year) Visitors arriving,Total,Employment,1978-09,1270
6,Short-term (less than one year) Visitors arriving,Total,Employment,1978-10,1080
6,Short-term (less than one year) Visitors arriving,Total,Employment,1978-11,1200
6,Short-term (less than one year) Visitors arriving,Total,Employment,1978-12,1200
6,Short-term (less than one year) Visitors arriving,Total,Employment,1979-01,1630
6,Short-term (less than one year) Visitors arriving,Total,Employment,1979-02,1530
6,Short-term (less than one year) Visitors arriving,Total,Employment,1979-03,1670
6,Short-term (less than one year) Visitors arriving,Total,Employment,1979-04,750
6,Short-term (less than one year) Visitors arriving,Total,Employment,1979-05,1160
6,Short-term (less than one year) Visitors arriving,Total,Employment,1979-06,1100
6,Short-term (less than one year) Visitors arriving,Total,Employment,1979-07,1600
6,Short-term (less than one year) Visitors arriving,Total,Employment,1979-08,1650
6,Short-term (less than one year) Visitors arriving,Total,Employment,1979-09,1520
6,Short-term (less than one year) Visitors arriving,Total,Employment,1979-10,1190
6,Short-term (less than one year) Visitors arriving,Total,Employment,1979-11,1150
6,Short-term (less than one year) Visitors arriving,Total,Employment,1979-12,960
6,Short-term (less than one year) Visitors arriving,Total,Employment,1980-01,2080
6,Short-term (less than one year) Visitors arriving,Total,Employment,1980-02,1330
6,Short-term (less than one year) Visitors arriving,Total,Employment,1980-03,1340
6,Short-term (less than one year) Visitors arriving,Total,Employment,1980-04,1340
6,Short-term (less than one year) Visitors arriving,Total,Employment,1980-05,1480
6,Short-term (less than one year) Visitors arriving,Total,Employment,1980-06,1460
6,Short-term (less than one year) Visitors arriving,Total,Employment,1980-07,1320
6,Short-term (less than one year) Visitors arriving,Total,Employment,1980-08,1210
6,Short-term (less than one year) Visitors arriving,Total,Employment,1980-09,1060
6,Short-term (less than one year) Visitors arriving,Total,Employment,1980-10,1150
6,Short-term (less than one year) Visitors arriving,Total,Employment,1980-11,1050
6,Short-term (less than one year) Visitors arriving,Total,Employment,1980-12,910
6,Short-term (less than one year) Visitors arriving,Total,Employment,1981-01,2080
6,Short-term (less than one year) Visitors arriving,Total,Employment,1981-02,1220
6,Short-term (less than one year) Visitors arriving,Total,Employment,1981-03,1810
6,Short-term (less than one year) Visitors arriving,Total,Employment,1981-04,1560
6,Short-term (less than one year) Visitors arriving,Total,Employment,1981-05,1550
6,Short-term (less than one year) Visitors arriving,Total,Employment,1981-06,1560
6,Short-term (less than one year) Visitors arriving,Total,Employment,1981-07,1420
6,Short-term (less than one year) Visitors arriving,Total,Employment,1981-08,1230
6,Short-term (less than one year) Visitors arriving,Total,Employment,1981-09,1140
6,Short-term (less than one year) Visitors arriving,Total,Employment,1981-10,1320
6,Short-term (less than one year) Visitors arriving,Total,Employment,1981-11,1210
6,Short-term (less than one year) Visitors arriving,Total,Employment,1981-12,850
6,Short-term (less than one year) Visitors arriving,Total,Employment,1982-01,2400
6,Short-term (less than one year) Visitors arriving,Total,Employment,1982-02,1570
6,Short-term (less than one year) Visitors arriving,Total,Employment,1982-03,1580
6,Short-term (less than one year) Visitors arriving,Total,Employment,1982-04,1790
6,Short-term (less than one year) Visitors arriving,Total,Employment,1982-05,1810
6,Short-term (less than one year) Visitors arriving,Total,Employment,1982-06,1500
6,Short-term (less than one year) Visitors arriving,Total,Employment,1982-07,1670
6,Short-term (less than one year) Visitors arriving,Total,Employment,1982-08,1580
6,Short-term (less than one year) Visitors arriving,Total,Employment,1982-09,1090
6,Short-term (less than one year) Visitors arriving,Total,Employment,1982-10,1150
6,Short-term (less than one year) Visitors arriving,Total,Employment,1982-11,1180
6,Short-term (less than one year) Visitors arriving,Total,Employment,1982-12,1030
6,Short-term (less than one year) Visitors arriving,Total,Employment,1983-01,1570
6,Short-term (less than one year) Visitors arriving,Total,Employment,1983-02,880
6,Short-term (less than one year) Visitors arriving,Total,Employment,1983-03,980
6,Short-term (less than one year) Visitors arriving,Total,Employment,1983-04,1070
6,Short-term (less than one year) Visitors arriving,Total,Employment,1983-05,970
6,Short-term (less than one year) Visitors arriving,Total,Employment,1983-06,1000
6,Short-term (less than one year) Visitors arriving,Total,Employment,1983-07,1130
6,Short-term (less than one year) Visitors arriving,Total,Employment,1983-08,930
6,Short-term (less than one year) Visitors arriving,Total,Employment,1983-09,810
6,Short-term (less than one year) Visitors arriving,Total,Employment,1983-10,1040
6,Short-term (less than one year) Visitors arriving,Total,Employment,1983-11,690
6,Short-term (less than one year) Visitors arriving,Total,Employment,1983-12,570
6,Short-term (less than one year) Visitors arriving,Total,Employment,1984-01,1260
6,Short-term (less than one year) Visitors arriving,Total,Employment,1984-02,960
6,Short-term (less than one year) Visitors arriving,Total,Employment,1984-03,1080
6,Short-term (less than one year) Visitors arriving,Total,Employment,1984-04,1000
6,Short-term (less than one year) Visitors arriving,Total,Employment,1984-05,830
6,Short-term (less than one year) Visitors arriving,Total,Employment,1984-06,840
6,Short-term (less than one year) Visitors arriving,Total,Employment,1984-07,1090
6,Short-term (less than one year) Visitors arriving,Total,Employment,1984-08,1170
6,Short-term (less than one year) Visitors arriving,Total,Employment,1984-09,930
6,Short-term (less than one year) Visitors arriving,Total,Employment,1984-10,1240
6,Short-term (less than one year) Visitors arriving,Total,Employment,1984-11,1130
6,Short-term (less than one year) Visitors arriving,Total,Employment,1984-12,860
6,Short-term (less than one year) Visitors arriving,Total,Employment,1985-01,1630
6,Short-term (less than one year) Visitors arriving,Total,Employment,1985-02,1510
6,Short-term (less than one year) Visitors arriving,Total,Employment,1985-03,1540
