Reason for journey, Year, OBS_VALUE
Employment, 2024, 39980
Employment, 2024, 31150
Employment, 2024, 29530
Employment, 2024, 25760
Employment, 2024, 24820
Employment, 2024, 24140
Employment, 2024, 21710
Employment, 2024, 24080
Employment, 2024, 28570
Employment, 2024, 27360
Employment, 2024, 27950
Employment, 2024, 22660
Holiday, 2024, 262700
Holiday, 2024, 391080
Holiday, 2024, 334530
Holiday, 2024, 256830
Holiday, 2024, 258760
Holiday, 2024, 250020
Holiday, 2024, 284280
Holiday, 2024, 310320
Holiday, 2024, 264550
Holiday, 2024, 299070
Holiday, 2024, 296590
Holiday, 2024, 399190
Education, 2024, 50770
Education, 2024, 101120
Education, 2024, 30810
Education, 2024, 31800
Education, 2024, 26400
Education, 2024, 25940
Education, 2024, 84140
Education, 2024, 35970
Education, 2024, 31350
Education, 2024, 27730
Education, 2024, 21640
Education, 2024, 24560
Convention/conference, 2024, 7210
Convention/conference, 2024, 17790
Convention/conference, 2024, 19610
Convention/conference, 2024, 15030
Convention/conference, 2024, 23830
Convention/conference, 2024, 27720
Convention/conference, 2024, 18640
Convention/conference, 2024, 21250
Convention/conference, 2024, 30500
Convention/conference, 2024, 28830
Convention/conference, 2024, 29010
Convention/conference, 2024, 13490
Other & not stated, 2024, 28410
Other & not stated, 2024, 29910
Other & not stated, 2024, 27920
Other & not stated, 2024, 25050
Other & not stated, 2024, 24680
Other & not stated, 2024, 21250
Other & not stated, 2024, 23380
Other & not stated, 2024, 26320
Other & not stated, 2024, 25510
Other & not stated, 2024, 28490
Other & not stated, 2024, 27090
Other & not stated, 2024, 21640
Business, 2024, 28050
Business, 2024, 44180
Business, 2024, 43920
Business, 2024, 39240
Business, 2024, 44380
Business, 2024, 35350
Business, 2024, 35560
Business, 2024, 38470
Business, 2024, 41330
Business, 2024, 45050
Business, 2024, 49650
Business, 2024, 25460
Visiting friends/relatives, 2024, 186650
Visiting friends/relatives, 2024, 242720
Visiting friends/relatives, 2024, 274720
Visiting friends/relatives, 2024, 199380
Visiting friends/relatives, 2024, 197920
Visiting friends/relatives, 2024, 203340
Visiting friends/relatives, 2024, 191260
Visiting friends/relatives, 2024, 202390
Visiting friends/relatives, 2024, 208900
Visiting friends/relatives, 2024, 220890
Visiting friends/relatives, 2024, 243440
Visiting friends/relatives, 2024, 438280
Employment, 1995, 2350
Employment, 1995, 1570
Employment, 1995, 1890
Employment, 1995, 1880
Employment, 1995, 1670
Employment, 1995, 1900
Employment, 1995, 1860
Employment, 1995, 1660
Employment, 1995, 1750
Employment, 1995, 1950
Employment, 1995, 1650
Employment, 1995, 1540
Holiday, 1995, 189210
Holiday, 1995, 185790
Holiday, 1995, 193960
Holiday, 1995, 175430
Holiday, 1995, 150620
Holiday, 1995, 157310
Holiday, 1995, 193710
Holiday, 1995, 190720
Holiday, 1995, 154660
Holiday, 1995, 191740
Holiday, 1995, 212620
Holiday, 1995, 261780
Education, 1995, 12350
Education, 1995, 20420
Education, 1995, 4210
Education, 1995, 6800
Education, 1995, 3800
Education, 1995, 5780
Education, 1995, 19620
Education, 1995, 4550
Education, 1995, 5540
Education, 1995, 7640
Education, 1995, 3570
Education, 1995, 3500
Convention/conference, 1995, 3070
Convention/conference, 1995, 8600
Convention/conference, 1995, 7560
Convention/conference, 1995, 5580
Convention/conference, 1995, 6780
Convention/conference, 1995, 6590
Convention/conference, 1995, 9530
Convention/conference, 1995, 7870
Convention/conference, 1995, 9450
Convention/conference, 1995, 12150
Convention/conference, 1995, 9460
Convention/conference, 1995, 3070
Other & not stated, 1995, 20830
Other & not stated, 1995, 18620
Other & not stated, 1995, 16030
Other & not stated, 1995, 14820
Other & not stated, 1995, 13940
Other & not stated, 1995, 16460
Other & not stated, 1995, 17920
Other & not stated, 1995, 14940
Other & not stated, 1995, 15700
Other & not stated, 1995, 16190
Other & not stated, 1995, 15500
Other & not stated, 1995, 17030
Business, 1995, 21130
Business, 1995, 29090
Business, 1995, 33620
Business, 1995, 26840
Business, 1995, 29940
Business, 1995, 25270
Business, 1995, 33720
Business, 1995, 40360
Business, 1995, 28830
Business, 1995, 33710
Business, 1995, 36330
Business, 1995, 22150
Visiting friends/relatives, 1995, 54810
Visiting friends/relatives, 1995, 54960
Visiting friends/relatives, 1995, 56270
Visiting friends/relatives, 1995, 62810
Visiting friends/relatives, 1995, 38070
Visiting friends/relatives, 1995, 48130
Visiting friends/relatives, 1995, 53370
Visiting friends/relatives, 1995, 44810
Visiting friends/relatives, 1995, 52630
Visiting friends/relatives, 1995, 57280
Visiting friends/relatives, 1995, 63810
Visiting friends/relatives, 1995, 113190
