Reason for journey, OBS_VALUE
Employment, 2350
Employment, 1570
Employment, 1890
Employment, 1880
Employment, 1670
Employment, 1900
Employment, 1860
Employment, 1660
Employment, 1750
Employment, 1950
Employment, 1650
Employment, 1540
Holiday, 189210
Holiday, 185790
Holiday, 193960
Holiday, 175430
Holiday, 150620
Holiday, 157310
Holiday, 193710
Holiday, 190720
Holiday, 154660
Holiday, 191740
Holiday, 212620
Holiday, 261780
Education, 12350
Education, 20420
Education, 4210
Education, 6800
Education, 3800
Education, 5780
Education, 19620
Education, 4550
Education, 5540
Education, 7640
Education, 3570
Education, 3500
Convention/conference, 3070
Convention/conference, 8600
Convention/conference, 7560
Convention/conference, 5580
Convention/conference, 6780
Convention/conference, 6590
Convention/conference, 9530
Convention/conference, 7870
Convention/conference, 9450
Convention/conference, 12150
Convention/conference, 9460
Convention/conference, 3070
Other & not stated, 20830
Other & not stated, 18620
Other & not stated, 16030
Other & not stated, 14820
Other & not stated, 13940
Other & not stated, 16460
Other & not stated, 17920
Other & not stated, 14940
Other & not stated, 15700
Other & not stated, 16190
Other & not stated, 15500
Other & not stated, 17030
Business, 21130
Business, 29090
Business, 33620
Business, 26840
Business, 29940
Business, 25270
Business, 33720
Business, 40360
Business, 28830
Business, 33710
Business, 36330
Business, 22150
Visiting friends/relatives, 54810
Visiting friends/relatives, 54960
Visiting friends/relatives, 56270
Visiting friends/relatives, 62810
Visiting friends/relatives, 38070
Visiting friends/relatives, 48130
Visiting friends/relatives, 53370
Visiting friends/relatives, 44810
Visiting friends/relatives, 52630
Visiting friends/relatives, 57280
Visiting friends/relatives, 63810
Visiting friends/relatives, 113190
